No;Question;English;bahasa
29;Will you present your project to the class tomorrow?;Tomorrow, I'll present my project to the class.;Besok, saya akan mempresentasikan proyek saya ke kelas.
30;Are you better at math than history?;I am better at math than history.;Saya lebih baik dalam matematika daripada sejarah.
31;If you had known about the test, would you have studied?;If I had known about the test, I would have studied.;Jika saya tahu tentang tes, saya akan belajar.
32;Will you visit the library this evening?;I will visit the library this evening.;Saya akan mengunjungi perpustakaan malam ini.
33;Was the history lesson not understood by you?;The history lesson was not understood by me.;Pelajaran sejarah tidak dipahami oleh saya.
34;Do you excel in science subjects?;I excel in science subjects.;Saya unggul dalam mata pelajaran sains.
35;If you pass the exam, will you celebrate?;If I pass the exam, I'll celebrate.;Jika saya lulus ujian, saya akan merayakannya.
36;Is your favorite subject English?;My favorite subject is English.;Subjek favorit saya adalah bahasa Inggris.
37;Do you participate actively in group projects?;I participate actively in group projects.;Saya berpartisipasi aktif dalam proyek kelompok.
38;Did you enjoy the school play last night?;I didn't enjoy the school play last night.;Saya tidak menikmati permainan sekolah tadi malam.
39;Do you plan to join the chess club soon?;I plan to join the chess club soon.;Saya berencana untuk segera bergabung dengan klub catur.
40;Will you help your classmates with their assignments?;I will help my classmates with their assignments.;Saya akan membantu teman sekelas saya dengan tugas mereka.
41;If you work hard, will you achieve your goals?;If I work hard, I'll achieve my goals.;Jika saya bekerja keras, saya akan mencapai tujuan saya.
42;Do you dislike early morning exams?;I dislike early morning exams.;Saya tidak suka ujian pagi.
43;Will you submit your essay by the deadline?;I will submit my essay by the deadline.;Saya akan mengirimkan esai saya pada tenggat waktu.
44;Is the school garden well-maintained?;The school garden is well-maintained.;Taman sekolah terawat baik.
45;Are you more interested in technology than art?;I am more interested in technology than art.;Saya lebih tertarik pada teknologi daripada seni.
46;If you don't understand a lesson, do you ask for help?;If I don't understand a lesson, I ask for help.;Jika saya tidak mengerti pelajaran, saya meminta bantuan.
47;Will you meet with the school counselor next week?;I will meet with the school counselor next week.;Saya akan bertemu dengan konselor sekolah minggu depan.
48;Do you prefer studying in a quiet environment?;I prefer studying in a quiet environment.;Saya lebih suka belajar di lingkungan yang tenang.
49;Is the science project due next month for you?;The science project is due next month.;Proyek sains akan jatuh tempo bulan depan.
50;Do you always strive to improve your academic performance?;I always strive to improve my academic performance.;Saya selalu berusaha untuk meningkatkan kinerja akademik saya.
51;Did you send the email yesterday?;I sent the email yesterday.;Saya mengirim email kemarin.
52;Will a report be prepared by you next week?;A report will be prepared by me next week.;Laporan akan disiapkan oleh saya minggu depan.
53;Do you attend the meeting every Monday?;I attend the meeting every Monday.;Saya menghadiri pertemuan setiap hari Senin.
54;Was the document signed by you yesterday?;The document was signed by me yesterday.;Dokumen itu ditandatangani oleh saya kemarin.
55;Will you finish the project by Friday?;I will finish the project by Friday.;Saya akan menyelesaikan proyek pada hari Jumat.
56;Do you handle customer inquiries regularly?;I handle customer inquiries regularly.;Saya menangani pertanyaan pelanggan secara teratur.
57;Was the presentation given by you last month?;The presentation was given by me last month.;Presentasi diberikan oleh saya bulan lalu.
58;Do you receive feedback from clients daily?;I receive feedback from clients daily.;Saya menerima umpan balik dari klien setiap hari.
59;Will you be working on a new proposal tomorrow?;I will be working on a new proposal tomorrow.;Saya akan mengerjakan proposal baru besok.
60;Do you manage the team effectively?;I manage the team effectively.;Saya mengelola tim secara efektif.
61;Do you like attending late meetings?;I don't like attending late meetings.;Saya tidak suka menghadiri pertemuan terlambat.
62;Was the mistake made by you unintentionally?;The mistake was made by me unintentionally.;Kesalahan itu dilakukan oleh saya secara tidak sengaja.
63;Do you ever miss deadlines at work?;I never miss deadlines at work.;Saya tidak pernah melewatkan tenggat waktu di tempat kerja.
64;Will the training session be conducted by you?;The training session will be conducted by me.;Sesi pelatihan akan dilakukan oleh saya.
65;Do you answer phone calls throughout the day?;I answer phone calls throughout the day.;Saya menjawab panggilan telepon sepanjang hari.
66;Have you submitted the application form?;I have submitted the application form.;Saya telah mengirimkan formulir aplikasi.
67;Are you currently updating the database?;I am currently updating the database.;Saya saat ini memperbarui database.
68;Do you ever forget important appointments?;I never forget important appointments.;Saya tidak pernah melupakan janji penting.
69;Was the problem solved by you quickly?;The problem was solved by me quickly.;Masalahnya dipecahkan oleh saya dengan cepat.
70;Will you be attending a conference next month?;I will be attending a conference next month.;Saya akan menghadiri konferensi bulan depan.
71;Do you always complete tasks on time?;I always complete tasks on time.;Saya selalu menyelesaikan tugas tepat waktu.
72;Is the office cleaned by you every Friday?;The office is cleaned by me every Friday.;Kantor dibersihkan oleh saya setiap hari Jumat.
73;Do you prefer working on challenging projects?;I prefer working on challenging projects.;Saya lebih suka mengerjakan proyek yang menantang.
74;Will the report be reviewed by you later?;The report will be reviewed by me later.;Laporan akan ditinjau oleh saya nanti.
75;Do you handle customer complaints professionally?;I handle customer complaints professionally.;Saya menangani keluhan pelanggan secara profesional.
76;Do you ever skip team meetings?;I never skip team meetings.;Saya tidak pernah melewatkan pertemuan tim.
77;Will the presentation be improved by you?;The presentation will be improved by me.;Presentasi akan ditingkatkan oleh saya.
78;Are you good at managing your time?;I am good at managing my time.;Saya pandai mengatur waktu saya.
79;Was the issue resolved by you yesterday?;The issue was resolved by me yesterday.;Masalahnya diselesaikan oleh saya kemarin.
80;Will you be on vacation next week?;I will be on vacation next week.;Saya akan berlibur minggu depan.
81;Do you appreciate constructive feedback?;I appreciate constructive feedback.;Saya menghargai umpan balik yang konstruktif.
82;Were the training materials carefully proofread by you?;The document was carefully proofread by me.;Dokumen itu dengan hati -hati mengoreksi oleh saya.
83;Do you excel at multitasking at the office?;I excel at multitasking at the office.;Saya unggul dalam multitasking di kantor.
84;Will you be attending a training session tomorrow?;I will be attending a training session tomorrow.;Saya akan menghadiri sesi pelatihan besok.
85;Do you handle difficult clients with patience?;I handle difficult clients with patience.;Saya menangani klien yang sulit dengan kesabaran.
86;Did you submit the proposal last Monday?;I submitted the proposal last Monday.;Saya mengajukan proposal Senin lalu.
87;Do you ever leave tasks unfinished?;I never leave tasks unfinished.;Saya tidak pernah meninggalkan tugas yang belum selesai.
88;Will the project be completed by you soon?;The project will be completed by me soon.;Proyek ini akan segera selesai oleh saya.
89;Do you manage your work priorities effectively?;I manage my work priorities effectively.;Saya mengelola prioritas kerja saya secara efektif.
90;Will you be giving a presentation next month?;I will be giving a presentation next month.;Saya akan memberikan presentasi bulan depan.
91;Do you ever ignore important emails?;I never ignore important emails.;Saya tidak pernah mengabaikan email penting.
92;Were the training materials prepared by you?;The training materials were prepared by me.;Materi pelatihan disiapkan oleh saya.
93;Do you enjoy collaborating with your colleagues?;I enjoy collaborating with my colleagues.;Saya menikmati berkolaborasi dengan kolega saya.
94;Will the problem be addressed by you promptly?;The problem will be addressed by me promptly.;Masalahnya akan segera ditangani oleh saya.
95;Do you always arrive at the office on time?;I always arrive at the office on time.;Saya selalu tiba di kantor tepat waktu.
96;Will you be discussing the budget later?;I will be discussing the budget later.;Saya akan membahas anggaran nanti.
97;Do you handle stressful situations calmly?;I handle stressful situations calmly.;Saya menangani situasi yang penuh tekanan dengan tenang.
98;Was the report submitted by you last week?;The report was submitted by me last week.;Laporan itu diajukan oleh saya minggu lalu.
99;Do you always meet project deadlines?;I always meet project deadlines.;Saya selalu memenuhi tenggat waktu proyek.
100;Will you be organizing a team-building activity soon?;I will be organizing a team-building activity soon.;Saya akan segera mengatur kegiatan pembangunan tim.
101;Did you go to the beach last summer?;I went to the beach last summer.;Saya pergi ke pantai musim panas lalu.
102;Was a beautiful sunset witnessed by you yesterday?;A beautiful sunset was witnessed by me yesterday.;Matahari terbenam yang indah disaksikan oleh saya kemarin.
103;Are you currently planning your next vacation?;I am currently planning my next vacation.;Saat ini saya sedang merencanakan liburan saya berikutnya.
104;Was the mountain trail explored by you recently?;The mountain trail was explored by me recently.;Jejak gunung dieksplorasi oleh saya baru -baru ini.
105;Will you visit a new country next year?;I will visit a new country next year.;Saya akan mengunjungi negara baru tahun depan.
106;Do you enjoy relaxing by the pool on weekends?;I enjoy relaxing by the pool on weekends.;Saya menikmati bersantai di tepi kolam renang di akhir pekan.
107;Was a camera bought by you for the trip?;A camera was bought by me for the trip.;Kamera dibeli oleh saya untuk perjalanan.
108;Will you be snorkeling in the ocean soon?;I will be snorkeling in the ocean soon.;Saya akan segera snorkeling di laut.
109;Do you ever forget to capture vacation memories?;I never forget to capture vacation memories.;Saya tidak pernah lupa untuk menangkap kenangan liburan.
110;Did you explore historical landmarks during your holiday?;I explored historical landmarks during my holiday.;Saya menjelajahi landmark bersejarah selama liburan saya.
111;Didn't you like the crowded tourist attractions?;I didn't like the crowded tourist attractions.;Saya tidak suka tempat -tempat wisata yang ramai.
112;Was the mistake of forgetting your passport made by you?;The mistake of forgetting my passport was made by me.;Kesalahan dengan melupakan paspor saya dibuat oleh saya.
113;Do you always take time off work for a getaway?;I always take time off work for a getaway.;Saya selalu mengambil cuti kerja untuk liburan.
114;Will a cruise be booked by you for the family?;A cruise will be booked by me for the family.;Pelayaran akan dipesan oleh saya untuk keluarga.
115;Are you currently packing your bags for the trip?;I am currently packing my bags for the trip.;Saat ini saya sedang mengemas tas saya untuk perjalanan.
116;Do you ever miss a chance to try local cuisine?;I never miss a chance to try local cuisine.;Saya tidak pernah melewatkan kesempatan untuk mencoba masakan lokal.
117;Are you enjoying the peaceful countryside this weekend?;I am enjoying the peaceful countryside this weekend.;Saya menikmati pedesaan yang damai akhir pekan ini.
118;Will you be attending a festival next month?;I will be attending a festival next month.;Saya akan menghadiri festival bulan depan.
119;Was the travel itinerary carefully planned by you?;The travel itinerary was carefully planned by me.;Rencana perjalanan perjalanan dengan cermat direncanakan oleh saya.
120;Do you prefer traveling during the off-peak season?;I prefer traveling during the off-peak season.;Saya lebih suka bepergian selama musim off-peak.
121;Don't you mind long flights for exciting destinations?;I don't mind long flights for exciting destinations.;Saya tidak keberatan dengan penerbangan panjang untuk tujuan yang menarik.
122;Was the cancellation of the flight disappointing for you?;The cancellation of the flight was disappointing for me.;Pembatalan penerbangan mengecewakan bagi saya.
123;Do you always bring a book for leisure reading?;I always bring a book for leisure reading.;Saya selalu membawa buku untuk membaca waktu luang.
124;Will a road trip be organized by you soon?;A road trip will be organized by me soon.;Perjalanan darat akan segera diselenggarakan oleh saya.
125;Are you currently exploring travel deals online?;I am currently exploring travel deals online.;Saya sedang menjelajahi penawaran perjalanan secara online.
126;Do you dislike touristy areas during the holidays?;I dislike touristy areas during the holidays.;Saya tidak menyukai daerah turis selama liburan.
127;Was a cozy cabin rented by you in the mountains?;A cozy cabin was rented by me in the mountains.;Kabin yang nyaman disewa oleh saya di pegunungan.
128;Will you be hiking in the national park tomorrow?;I will be hiking in the national park tomorrow.;Saya akan hiking di taman nasional besok.
129;Do you never forget to check the weather forecast?;I never forget to check the weather forecast.;Saya tidak pernah lupa untuk memeriksa ramalan cuaca.
130;Will you be attending a beach party next weekend?;I'll be attending a beach party next weekend.;Saya akan menghadiri pesta pantai akhir pekan depan.
131;Do you enjoy meeting new people while traveling?;I enjoy meeting new people while traveling.;Saya menikmati bertemu orang baru saat bepergian.
132;Was the hotel reservation confirmed by you yesterday?;The hotel reservation was confirmed by me yesterday.;Reservasi hotel dikonfirmasi oleh saya kemarin.
133;Don't you mind getting lost in new cities?;I don't mind getting lost in new cities.;Saya tidak keberatan tersesat di kota -kota baru.
134;Will a guided tour be taken by you in the city?;A guided tour will be taken by me in the city.;Tur berpemandu akan diambil oleh saya di kota.
135;Are you currently booking tickets for a theme park?;I am currently booking tickets for a theme park.;Saat ini saya sedang memesan tiket untuk taman hiburan.
136;Do you never leave for a trip without your camera?;I never leave for a trip without my camera.;Saya tidak pernah pergi untuk perjalanan tanpa kamera saya.
137;Is a travel journal always kept by you?;A travel journal is always kept by me.;Jurnal perjalanan selalu disimpan oleh saya.
138;Will you be parasailing at the beach soon?;I will be parasailing at the beach soon.;Saya akan segera parasailing di pantai.
139;Do you prefer exploring local markets for souvenirs?;I prefer exploring local markets for souvenirs.;Saya lebih suka menjelajahi pasar lokal untuk suvenir.
140;Will you be attending a cultural event next month?;I'll be attending a cultural event next month.;Saya akan menghadiri acara budaya bulan depan.
141;Don't you forget to pack sunscreen for the beach?;I don't forget to pack sunscreen for the beach.;Saya tidak lupa mengemas tabir surya ke pantai.
142;Was the mistake of overpacking made by you?;The mistake of overpacking was made by me.;Kesalahan overpacking dibuat oleh saya.
143;Do you enjoy watching the sunrise on vacation?;I enjoy watching the sunrise on vacation.;Saya menikmati menonton matahari terbit saat liburan.
144;Will a camping trip be organized by you next summer?;A camping trip will be organized by me next summer.;Perjalanan berkemah akan diselenggarakan oleh saya musim panas mendatang.
145;Are you currently checking visa requirements for the trip?;I am currently checking visa requirements for the trip.;Saya sedang memeriksa persyaratan visa untuk perjalanan.
146;Do you dislike crowded airports during peak seasons?;I dislike crowded airports during peak seasons.;Saya tidak suka bandara yang ramai selama musim puncak.
147;Will a cooking class be attended by you abroad?;A cooking class will be attended by me abroad.;Kelas memasak akan dihadiri oleh saya di luar negeri.
148;Will you be zip-lining through the forest next week?;I will be zip-lining through the forest next week.;Saya akan menjadi zip-lining melalui hutan minggu depan.
149;Do you always research local customs before traveling?;I always research local customs before traveling.;Saya selalu meneliti kebiasaan lokal sebelum bepergian.
150;Is a hot air balloon ride on your bucket list?;A hot air balloon ride is on my bucket list.;Perjalanan balon udara panas ada di daftar ember saya.
151;Did you vote in the election last year?;I voted in the election last year.;Saya memberikan suara dalam pemilihan tahun lalu.
152;Was a political speech delivered by you yesterday?;A political speech was delivered by me yesterday.;Pidato politik disampaikan oleh saya kemarin.
153;Are you currently researching political candidates for the upcoming election?;I am currently researching political candidates for the upcoming election.;Saat ini saya sedang meneliti kandidat politik untuk pemilihan mendatang.
154;Was the new policy proposed by you recently?;The new policy was proposed by me recently.;Kebijakan baru diusulkan oleh saya baru -baru ini.
155;Will you participate in a political rally next month?;I will participate in a political rally next month.;Saya akan berpartisipasi dalam reli politik bulan depan.
156;Do you actively engage in political discussions online?;I actively engage in political discussions online.;Saya secara aktif terlibat dalam diskusi politik online.
157;Were the campaign posters designed by you?;The campaign posters were designed by me.;Poster kampanye dirancang oleh saya.
158;Will you be running for a local office in the future?;I will be running for a local office in the future.;Saya akan mencalonkan diri untuk kantor lokal di masa depan.
159;Do you ever miss a chance to express your political views?;I never miss a chance to express my political views.;Saya tidak pernah melewatkan kesempatan untuk mengekspresikan pandangan politik saya.
160;Did you attend a town hall meeting last week?;I attended a town hall meeting last week.;Saya menghadiri pertemuan balai kota minggu lalu.
161;Didn't you support the proposed tax increase?;I didn't support the proposed tax increase.;Saya tidak mendukung kenaikan pajak yang diusulkan.
162;What is the specific issue that you understand?;I understand the issue, I will analyze it first, and then I will find the solution;Oke saya paham masalah nya, saya akan analisa dahulu, kemudian saya cari solusi nya
163;Do you always stay informed about current political events?;I always stay informed about current political events.;Saya selalu tetap mendapat informasi tentang peristiwa politik saat ini.
164;Will a petition be circulated by you soon?;A petition will be circulated by me soon.;Petisi akan segera diedarkan oleh saya.
165;Are you currently advocating for environmental policies?;I am currently advocating for environmental policies.;Saat ini saya mengadvokasi kebijakan lingkungan.
166;Do you never ignore the importance of voting?;I never ignore the importance of voting.;Saya tidak pernah mengabaikan pentingnya pemungutan suara.
167;Are you contributing to a political fundraiser this week?;I am contributing to a political fundraiser this week.;Saya berkontribusi pada penggalangan dana politik minggu ini.
168;Will you be addressing a community forum next month?;I will be addressing a community forum next month.;Saya akan membahas forum komunitas bulan depan.
169;Was the political landscape discussed by you yesterday?;The political landscape was discussed by me yesterday.;Lanskap politik dibahas oleh saya kemarin.
170;Do you prefer political candidates with clear platforms?;I prefer political candidates with clear platforms.;Saya lebih suka kandidat politik dengan platform yang jelas.
171;Don't you believe in negative campaign tactics?;I don't believe in negative campaign tactics.;Saya tidak percaya pada taktik kampanye negatif.
172;Was the mistake of not attending the political debate made by you?;The mistake of not attending the political debate was made by me.;Kesalahan dengan tidak menghadiri debat politik dibuat oleh saya.
173;Do you always research the voting history of candidates?;I always research the voting history of candidates.;Saya selalu meneliti sejarah pemungutan suara kandidat.
174;Will a political documentary be watched by you tonight?;A political documentary will be watched by me tonight.;Sebuah film dokumenter politik akan ditonton oleh saya malam ini.
175;Are you currently analyzing political poll results?;I am currently analyzing political poll results.;Saat ini saya menganalisis hasil jajak pendapat politik.
176;Do you disagree with the recent policy decision?;I disagree with the recent policy decision.;Saya tidak setuju dengan keputusan kebijakan baru -baru ini.
177;Was a letter to the editor written by you?;A letter to the editor was written by me.;Surat kepada editor ditulis oleh saya.
178;Will you be participating in a political forum soon?;I will be participating in a political forum soon.;Saya akan segera berpartisipasi dalam forum politik.
179;Do you never shy away from expressing your political stance?;I never shy away from expressing my political stance.;Saya tidak pernah menghindar dari mengungkapkan sikap politik saya.
180;Will you be joining a political activism group next week?;I'll be joining a political activism group next week.;Saya akan bergabung dengan kelompok aktivisme politik minggu depan.
181;Do you actively promote civic engagement in your community?;I actively promote civic engagement in my community.;Saya secara aktif mempromosikan keterlibatan sipil di komunitas saya.
182;Was the mistake of missing a crucial vote made by you?;The mistake of missing a crucial vote was made by me.;Kesalahan dengan kehilangan suara penting dilakukan oleh saya.
183;Do you always attend political town hall meetings?;I always attend political town hall meetings.;Saya selalu menghadiri pertemuan balai kota politik.
184;Will a political science course be taken by you next semester?;A political science course will be taken by me next semester.;Kursus sains politik akan diambil oleh saya semester depan.
185;Are you currently evaluating the political candidates' track records?;I am currently evaluating the political candidates' track records.;Saat ini saya mengevaluasi rekam jejak kandidat politik.
186;Do you never underestimate the power of grassroots movements?;I never underestimate the power of grassroots movements.;Saya tidak pernah meremehkan kekuatan gerakan akar rumput.
187;Was a political cartoon drawn by you for the local newspaper?;A political cartoon was drawn by me for the local newspaper.;Kartun politik ditarik oleh saya untuk koran lokal.
188;Will you be volunteering for a political campaign soon?;I will be volunteering for a political campaign soon.;Saya akan segera menjadi sukarelawan untuk kampanye politik.
189;Do you always respect different political perspectives?;I always respect different political perspectives.;Saya selalu menghormati perspektif politik yang berbeda.
190;Did you attend a political rally in support of education reform?;I attended a political rally in support of education reform.;Saya menghadiri rapat umum politik dalam mendukung reformasi pendidikan.
191;Don't you agree with the recent policy decision?;I don't agree with the recent policy decision.;Saya tidak setuju dengan keputusan kebijakan baru -baru ini.
192;Was the mistake of not voting in the last election made by you?;The mistake of not voting in the last election was made by me.;Kesalahan dengan tidak memberikan suara dalam pemilihan terakhir dilakukan oleh saya.
193;Do you always encourage others to register to vote?;I always encourage others to register to vote.;Saya selalu mendorong orang lain untuk mendaftar untuk memilih.
194;Will a political event be organized by you next month?;A political event will be organized by me next month.;Acara politik akan diselenggarakan oleh saya bulan depan.
195;Are you currently analyzing the political climate?;I am currently analyzing the political climate.;Saat ini saya menganalisis iklim politik.
196;Do you disagree with the politician's stance on healthcare?;I disagree with the politician's stance on healthcare.;Saya tidak setuju dengan sikap politisi tentang perawatan kesehatan.
197;Was a letter of endorsement written by you?;A letter of endorsement was written by me.;Surat pengesahan ditulis oleh saya.
198;Will you be attending a political conference in the future?;I will be attending a political conference in the future.;Saya akan menghadiri konferensi politik di masa depan.
199;Do you never underestimate the importance of political activism?;I never underestimate the importance of political activism.;Saya tidak pernah meremehkan pentingnya aktivisme politik.
200;Will you be participating in a political debate next week?;I'll be participating in a political debate next week.;Saya akan berpartisipasi dalam debat politik minggu depan.
201;Did you buy a new phone yesterday?;I bought a new phone yesterday.;Saya membeli telepon baru kemarin.
202;Was a shirt sold by you last week?;A shirt was sold by me last week.;Kemeja dijual oleh saya minggu lalu.
203;Will you sell your old laptop soon?;I will sell my old laptop soon.;Saya akan segera menjual laptop lama saya.
204;Are you buying groceries at the market now?;I am buying groceries at the market now.;Saya membeli bahan makanan di pasar sekarang.
205;Will the bicycle be repaired by you tomorrow?;The bicycle will be repaired by me tomorrow.;Sepeda akan diperbaiki oleh saya besok.
206;Do you sell handmade crafts online?;I sell handmade crafts online.;Saya menjual kerajinan buatan tangan secara online.
207;Was a book bought by you yesterday?;A book was bought by me yesterday.;Sebuah buku dibeli oleh saya kemarin.
208;Do you plan to buy a car next year?;I plan to buy a car next year.;Saya berencana untuk membeli mobil tahun depan.
209;Are you selling your old clothes online?;I am selling my old clothes online.;Saya menjual pakaian lama saya secara online.
210;Will a new product be launched by you next month?;A new product will be launched by me next month.;Produk baru akan diluncurkan oleh saya bulan depan.
211;Did you buy anything at the mall yesterday?;I didn't buy anything at the mall yesterday.;Saya tidak membeli apa pun di mal kemarin.
212;Was the car sold by you at a good price?;The car was sold by me at a good price.;Mobil itu dijual dengan harga yang bagus.
213;Are you purchasing tickets for the concert?;I am purchasing tickets for the concert.;Saya membeli tiket untuk konser.
214;Will a new dress be designed by you for the event?;A new dress will be designed by me for the event.;Gaun baru akan dirancang oleh saya untuk acara tersebut.
215;Do you sell your handmade jewelry on Etsy?;I sell my handmade jewelry on Etsy.;Saya menjual perhiasan buatan tangan saya di Etsy.
216;Were no items bought by you during the sale?;No items were bought by me during the sale.;Tidak ada barang yang dibeli oleh saya selama penjualan.
217;Will you buy a new computer for work?;I will buy a new computer for work.;Saya akan membeli komputer baru untuk bekerja.
218;Are you negotiating the price with the seller?;I am negotiating the price with the seller.;Saya menegosiasikan harga dengan penjual.
219;Was a used phone sold by you last month?;A used phone was sold by me last month.;Telepon bekas dijual oleh saya bulan lalu.
220;Do you always buy fresh vegetables for cooking?;I always buy fresh vegetables for cooking.;Saya selalu membeli sayuran segar untuk dimasak.
221;Will the old furniture be replaced by you soon?;The old furniture will be replaced by me soon.;Perabotan lama akan segera diganti oleh saya.
222;Are you not interested in buying that expensive watch?;I am not interested in buying that expensive watch.;Saya tidak tertarik untuk membeli arloji mahal itu.
223;Will you sell your paintings at the art fair?;I will sell my paintings at the art fair.;Saya akan menjual lukisan saya di pameran seni.
224;Did you buy a gift for your friend's birthday?;I bought a gift for my friend's birthday.;Saya membeli hadiah untuk ulang tahun teman saya.
225;Are you selling your old textbooks online?;I am selling my old textbooks online.;Saya menjual buku teks lama saya secara online.
226;Was the product purchased by you yesterday?;The product was purchased by me yesterday.;Produk itu dibeli oleh saya kemarin.
227;Do you plan to buy a new camera in the future?;I plan to buy a new camera in the future.;Saya berencana untuk membeli kamera baru di masa depan.
228;Do you sell your handmade soaps at the local market?;I sell my handmade soaps at the local market.;Saya menjual sabun buatan tangan saya di pasar lokal.
229;Haven't you bought any new clothes this year?;I haven't bought any new clothes this year.;Saya belum membeli pakaian baru tahun ini.
230;Will a second-hand bicycle be sold by you next week?;A second-hand bicycle will be sold by me next week.;Sepeda bekas akan dijual oleh saya minggu depan.
231;Are you buying a new pair of shoes for the party?;I am buying a new pair of shoes for the party.;Saya membeli sepasang sepatu baru untuk pesta.
232;Was the house sold by you last year?;The house was sold by me last year.;Rumah itu dijual oleh saya tahun lalu.
233;Will you sell your car before moving abroad?;I will sell my car before moving abroad.;Saya akan menjual mobil saya sebelum pindah ke luar negeri.
234;Are you purchasing a new software for your computer?;I am purchasing a new software for my computer.;Saya membeli perangkat lunak baru untuk komputer saya.
235;Did you sell your old furniture on a classified website?;I sold my old furniture on a classified website.;Saya menjual furnitur lama saya di situs web rahasia.
236;Did you buy a ticket for the concert in advance?;I bought a ticket for the concert in advance.;Saya membeli tiket untuk konser terlebih dahulu.
237;Will the used books be sold by you at the garage sale?;The used books will be sold by me at the garage sale.;Buku bekas akan dijual oleh saya di Garage Sale.
238;Are you selling your unused gadgets online?;I am selling my unused gadgets online.;Saya menjual gadget saya yang tidak digunakan secara online.
239;Will you buy a new guitar for your music lessons?;I will buy a new guitar for my music lessons.;Saya akan membeli gitar baru untuk pelajaran musik saya.
240;Are you not interested in buying that expensive necklace?;I am not interested in buying that expensive necklace.;Saya tidak tertarik untuk membeli kalung yang mahal itu.
241;Was a vintage watch sold by you last month?;A vintage watch was sold by me last month.;Sebuah jam tangan vintage dijual oleh saya bulan lalu.
242;Did you buy fresh fruits for a healthy snack?;I bought fresh fruits for a healthy snack.;Saya membeli buah segar untuk camilan sehat.
243;Are you selling your artwork at the local gallery?;I am selling my artwork at the local gallery.;Saya menjual karya seni saya di galeri lokal.
244;Will you purchase a new laptop for your studies?;I will purchase a new laptop for my studies.;Saya akan membeli laptop baru untuk studi saya.
245;Haven't you bought any new shoes recently?;I haven't bought any new shoes recently.;Saya belum membeli sepatu baru baru -baru ini.
246;Will the antique clock be sold by you at the auction?;The antique clock will be sold by me at the auction.;Jam antik akan dijual oleh saya di pelelangan.
247;Are you buying a new mattress for better sleep?;I am buying a new mattress for better sleep.;Saya membeli kasur baru untuk tidur yang lebih baik.
